$BUILT 2021-07-18 17:30:44
$AUTHOR Liebatron
$ENGLISH Lixylvania Railway Museum

#INTENDED_NUMBER_OF_PLAYERS 1
#SIZE_X 640
#SIZE_Y 400
#BACKGROUND_RED 0
#BACKGROUND_GREEN 112
#BACKGROUND_BLUE 192

#INITIAL 20
#REQUIRED 19
#SPAWN_INTERVAL 64

#BASHER 2
#MINER 1
#DIGGER 5
#EXPLODER2 0

:Liebatron/Chicago/active/Hatch_CTA_2400_car_2.H: 274 48

:Liebatron/Chicago/active/Goal_CTA_2400_car_2.G: 0 288

:geoo/construction/Laser_hz_64.F: 79 65
:geoo/construction/Laser_hz_16.F: 355 156
:geoo/construction/Laser_hz_16.F: 370 156
:geoo/construction/Laser_hz_64.F: 385 15
:geoo/construction/Laser_hz_64.F: 390 15
:geoo/construction/Laser_hz_64.F: 376 108
:geoo/construction/Laser_hz_64.F: 380 108
:geoo/construction/Laser_hz_64.F: 450 108
:geoo/construction/Laser_hz_64.F: 454 108
:geoo/construction/Laser_hz_64.F: 524 108
:geoo/construction/Laser_hz_64.F: 528 108
:geoo/construction/Laser_hz_64.F: 598 108
:geoo/construction/Laser_hz_64.F: 603 108
:geoo/construction/Laser_hz_64.F: 393 156
:geoo/construction/Laser_hz_64.F: 397 156
:geoo/construction/Laser_hz_64.F: 467 156
:geoo/construction/Laser_hz_64.F: 471 156
:geoo/construction/Laser_hz_64.F: 541 156
:geoo/construction/Laser_hz_64.F: 545 156
:geoo/construction/Laser_hz_64.F: 615 156
:geoo/construction/Laser_hz_64.F: 620 156
:geoo/construction/Laser_hz_64.F: 95 107
:geoo/construction/Laser_hz_64.F: 159 107
:geoo/construction/Laser_hz_64.F: 386 62
:geoo/construction/Laser_hz_64.F: 405 62
:geoo/construction/Laser_hz_64.F: 474 62
:geoo/construction/Laser_hz_64.F: 493 62
:geoo/construction/Laser_hz_64.F: 562 62
:geoo/construction/Laser_hz_64.F: 581 62
:geoo/construction/Laser_hz_64.F: 360 207
:geoo/construction/Laser_hz_64.F: 365 207
:geoo/construction/Laser_hz_64.F: 434 207
:geoo/construction/Laser_hz_64.F: 439 207
:geoo/construction/Laser_hz_64.F: 508 207
:geoo/construction/Laser_hz_64.F: 513 207
:geoo/construction/Laser_hz_64.F: 386 303
:geoo/construction/Laser_hz_64.F: 391 303
:geoo/construction/Laser_hz_64.F: 460 303
:geoo/construction/Laser_hz_64.F: 465 303
:geoo/construction/Laser_hz_64.F: 534 303
:geoo/construction/Laser_hz_64.F: 539 303
:geoo/construction/Laser_hz_64.F: 608 303
:geoo/construction/Laser_hz_64.F: 613 303
:geoo/construction/Laser_hz_64.F: 306 254
:geoo/construction/Laser_hz_64.F: 313 254
:geoo/construction/Laser_hz_64.F: 394 254
:geoo/construction/Laser_hz_64.F: 402 254
:geoo/construction/Laser_hz_64.F: 481 254
